tw_0,"客戶端版本:%s 資源版本:%u"
tw_1,下載最新版的Teon
tw_2,連接遊戲伺服器...(準備就緒)
tw_3,"更新數據中 (%s, %u->%u) %u%%, 請稍等..."
tw_4,"更新數據中 (%s, %u->%u), 請稍等..."
tw_5,連接伺服器...
tw_6,連接伺服器...(已連接)
tw_7,連接伺服器...(失敗)
tw_8,連接伺服器....(協議錯誤)
tw_9,"連接失敗, 請重新嘗試"
tw_10,連接伺服器...(握手中)
tw_11,解壓初始遊戲資源...
tw_12,連接更新伺服器...
tw_13,連接更新伺服器...(獲取更新中)
tw_14,連接更新伺服器...(失敗)
tw_15,"更新失敗, 請重新嘗試"
tw_16,"接收更新中...(%u/%u) %s"
tw_17,"更新數據中(全部更新, %u->%u), 請稍等..."
tw_18,"更新數據中(局部更新, %u->%u), 請稍等..."
tw_19,"更新失敗, 請重新啟動. (未知更新信息:%s)"
tw_20,"更新失敗, 請重新啟動. (無效更新信息:%s)"
tw_21,"解壓數據中 (%s, %u->%u), 請稍等...(%d%%)"
tw_22,"更新失敗, 請重新啟動. (解壓數據失敗)"
tw_23,"更新失敗, 更新數據出錯, 將重新下載資源或解壓預設資源."
tw_24,更新數據失敗，請重新嘗試下載更新
tw_25,請退出遊戲後，騰出不少於%fG的空間，再點擊屏幕重新進行更新
tw_26,設備剩餘空間不足，無法進行更新
tw_27,　確定　|　取消　
tw_28,　確定　
tw_29,"無法使用Google play登入，請確保設備已安裝相關組件"
tw_30,"\fK客戶端版本:%s 資源版本:%u"
tw_31,帳號已經存在
tw_32,密碼錯誤
tw_33,"帳號被鎖，請聯繫cs@lakoo.com\n請提供帳戶詳細資訊，標題：Teon-帳戶問題"
tw_34,有另外一位玩家已經登入
tw_35,帳號或密碼的格式有誤
tw_36,錯誤代碼:%d
tw_37,登入失敗，%s
tw_38,帳號和密碼不能為空，請確認輸入
tw_39,確認密碼不一致，請重新確認輸入
tw_40,Google伺服器未回應，請重新打開Teon，點擊開始遊戲
tw_41,"\fK帳號"
tw_42,"\fK密碼"
tw_43,"\fK登 入"
tw_44,"\fK註 冊"
tw_45,"\fK取 消"
tw_46,"\fK密碼確認"
tw_47,"\fK登入"
tw_48,提示
tw_49,王族
tw_50,騎士
tw_51,精靈
tw_52,法師
tw_53,黑暗精靈
tw_54,龍騎士
tw_55,幻術士
tw_56,未知職業
tw_57,人物
tw_58,背包
tw_59,魔法
tw_60,任務
tw_61,書籤
tw_62,社交
tw_63,綜合
tw_64,血盟
tw_65,離開
tw_66,關於
tw_67,確定
tw_68,取消
tw_69,請設置書籤名字:
tw_70,添加書籤
tw_71,書籤
tw_72,確認刪除書籤
tw_73,真的要刪除'%s'嗎?
tw_74,一鍵發送聊天
tw_75,聊天快捷鍵
tw_76,確定離開遊戲?
tw_77,"重新開始 | 返回選服 | 離開遊戲"
tw_78,復活
tw_79,請選擇復活方式
tw_80,"附近城鎮"
tw_81,"連線中斷, 原因: %u"
tw_82,連線中斷
tw_83,請選擇目標物品
tw_84,負重
tw_85,"\fK人 物"
tw_86,"\fK鎖 定"
tw_87,"\fK整 理"
tw_88,正義
tw_89,邪惡
tw_90,中立
tw_91,"密  語"
tw_92,"郵  件"
tw_93,"封  鎖"
tw_94,"刪  除"
tw_95,玩家名稱
tw_96,玩家血盟
tw_97,玩家稱號
tw_98,職業
tw_99,等級
tw_100,添加好友
tw_101,公告欄：
tw_102,血盟名稱：
tw_103,盟主：
tw_104,佔有城池：
tw_105,成員人數：
tw_106,歡迎加入血盟！！！
tw_107,充值
tw_108,設定
tw_109,成功登入遊戲
tw_110,請輸入數量：
tw_111,"商  店"
tw_112,總價
tw_113,"\fK購  買"
tw_114,"\fK賣  出"
tw_115,請選擇新角色
tw_116,請輸入角色名稱
tw_117,請選擇推薦配點或者手動調整屬性點數。
tw_118,請確定自定義分配的屬性點
tw_119,暫時未開放該角色，請重新選擇
tw_120,請分配所有剩餘屬性點
tw_121,系統錯誤，請重新輸入
tw_122,新角色名稱已存在，請重新輸入
tw_123,新角色名稱無效，請重新輸入
tw_124,創造角色失敗（錯誤能力值），請重新嘗試
tw_125,創造角色失敗（角色空間已滿），請重新嘗試
tw_126,無效的角色名稱，請重新輸入
tw_127,無效的角色創造信息
tw_128,"組  隊"
tw_129,加好友
tw_130,"交  易"
tw_131,"密  語"
tw_132,"對 話"
tw_133,主動攻擊
tw_134,"黑名單"
tw_135,\f3無效類型
tw_136,創建隊伍
tw_137,"離  開"
tw_138,輸入的中文(0-%d)或字符(0-%d)超出了的數量限制。
tw_139,\f=取消交易
tw_140,\f2交易成功
tw_141,"交  易"
tw_142,請輸入物品數量：
tw_143,"\f7未鎖定"
tw_144,"\f7已鎖定"
tw_145,"\fK鎖定交易"
tw_146,"\fK確定交易"
tw_147,"我的物品 \f=(交易有風險，請謹防詐騙)"
tw_148,寄賣市場
tw_149,成功售出
tw_150,未售出
tw_151,購買
tw_152,出售
tw_153,領取
tw_154,物品
tw_155,名稱
tw_156,剩餘時間
tw_157,價格
tw_158,狀態
tw_159,"\fK購買"
tw_160,"\fK取消"
tw_161,"\fK領取"
tw_162,輸入搜索名稱
tw_163,輸入搜索名稱過長
tw_164,選擇出售數量：
tw_165,"\fK全部"
tw_166,選擇出售價格：
tw_167,總價：
tw_168,選擇出售期限：
tw_169,12小時
tw_170,24小時
tw_171,48小時
tw_172,手續費：
tw_173,"\fK出  售"
tw_174,"\fK取  消"
tw_175,請輸入出售數量
tw_176,請輸入出售價格
tw_177,"\f3受詛咒的\n"
tw_178,"\f2受祝福的\n"
tw_179,"\f>職業："
tw_180,"\f>[所有職業]"
tw_181,"\f>[王]"
tw_182,"\f>[騎]"
tw_183,"\f>[精]"
tw_184,"\f>[法]"
tw_185,"%s\f>對小怪/大怪的傷害：%d/%d\n"
tw_186,"%s%s防禦：%d\n"
